Programme,Session,Year,Date,Host,File Type,File Name,Completion,Drive Link,,Issues,OPS Feedback,,,
PEP 2024,Midmonth Mentoring (MMM),2023,18 October 2023,Adam Goff,Video,PEP Oct 2023 MMM - Video,Done-A,https://drive.google.com/file/d/13Hh21lgGSBWCx_auNI6ddWUF7Zx6Mhqx/view?usp=drive_link,,Josh Keegan is not the host,Incorrect on Schedule - Session hosted by Adam - Updated host name in Column E,,,yes
PEP 2024,Midmonth Mentoring (MMM),2023,18 October 2023,Adam Goff,Transcript,PEP Oct 2023 MMM - Transcript,,,,,,,,
PEP 2024,Midmonth Mentoring (MMM),2023,15 November 2023,Josh Keegan,Video,PEP Nov 2023 MMM - Video,Done-A,https://drive.google.com/file/d/1_iNeuDaMPzf7g6KCnBXrRp103BV7xGSw/view?usp=drive_link,,Josh Keegan is not the host,Josh is the host,,,yes
PEP 2024,Midmonth Mentoring (MMM),2023,15 November 2023,Josh Keegan,Transcript,PEP Nov 2023 MMM - Transcript,,,,,,,,
PEP 2024,Midmonth Mentoring (MMM),2023,13 December 2023,Adam Goff,Video,PEP Dec 2023 MMM - Video,Done-A,https://drive.google.com/file/d/1vjRu64FknE66NVejZ9Q2uUps8eQ-SuVe/view?usp=drive_link,,,,,,yes
PEP 2024,Midmonth Mentoring (MMM),2023,13 December 2023,Adam Goff,Transcript,PEP Dec 2023 MMM - Transcript,,,,,,,,
PEP 2024,Midmonth Mentoring (MMM),2024,24 January 2024,Josh Keegan,Video,PEP Jan 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1Gh0AlVCmOLyilII0ktOsX9RDVsK0qi2l/view?usp=drive_link,,,,,,yes
PEP 2024,Midmonth Mentoring (MMM),2024,24 January 2024,Josh Keegan,Transcript,PEP Jan 2024 MMM - Transcript,,,,,,,,
PEP 2024,Midmonth Mentoring (MMM),2024,21 February 2024,Adam Goff,Video,PEP Feb 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1Lqcr996o3Hk2mIuqlU8IXvtMhff3qoxc/view?usp=drive_link,,,,,,yes
PEP 2024,Midmonth Mentoring (MMM),2024,21 February 2024,Adam Goff,Transcript,PEP Feb 2024 MMM - Transcript,,,,,,,,
PEP 2024,Midmonth Mentoring (MMM),2024,20 March 2024,Josh Keegan,Video,PEP Mar 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1YSrppUqguKtPSmtcUwKzHgcxmgQrD_F2/view?usp=drive_link,,,,,,yes
PEP 2024,Midmonth Mentoring (MMM),2024,20 March 2024,Josh Keegan,Transcript,PEP Mar 2024 MMM - Transcript,,,,,,,,
PEP 2024,Midmonth Mentoring (MMM),2024,17 April 2024,Adam Goff,Video,PEP Apr 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1MPcLz8RMM6kMF_qB8HVKzUXAN-8hMjDY/view?usp=drive_link,,,,,,yes
PEP 2024,Midmonth Mentoring (MMM),2024,17 April 2024,Adam Goff,Transcript,PEP Apr 2024 MMM - Transcript,,,,,,,,
PEP 2024,Midmonth Mentoring (MMM),2024,15 May 2024,Josh Keegan,Video,PEP May 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1yMOs34G3IESi6r50uhAFyu3XVI-IooWB/view?usp=drive_link,,,,,,Yes
PEP 2024,Midmonth Mentoring (MMM),2024,15 May 2024,Josh Keegan,Transcript,PEP May 2024 MMM - Transcript,,,,,,,,
PEP 2024,Midmonth Mentoring (MMM),2024,19 June 2024,Adam Goff,Video,PEP Jun 2024 MMM - Video,Done-A,https://drive.google.com/file/d/13anIe-PrUC6f_mw7s-e4Jm6p-Px-a1Wf/view?usp=drive_link,,,,,,yes
PEP 2024,Midmonth Mentoring (MMM),2024,19 June 2024,Adam Goff,Transcript,PEP Jun 2024 MMM - Transcript,,,,,,,,
PEP 2024,Midmonth Mentoring (MMM),2024,17 July 2024,Josh Keegan,Video,PEP Jul 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1Llk3iBhRHNkk6hv7zpYdfWWOJNOowxZl/view?usp=drive_link,,,,,,Yes
PEP 2024,Midmonth Mentoring (MMM),2024,17 July 2024,Josh Keegan,Transcript,PEP Jul 2024 MMM - Transcript,,,,,,,,
PEP 2024,Midmonth Mentoring (MMM),2024,14 August 2024,Chris Moss,Video,PEP Aug 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1krbD6wdeiO28_DeWNe5GDXTVgtOI__NG/view?usp=drive_link,,,,,,yes
PEP 2024,Midmonth Mentoring (MMM),2024,14 August 2024,Chris Moss,Transcript,PEP Aug 2024 MMM - Transcript,,,,,,,,
PEP 2025,Midmonth Mentoring (MMM),2024,23 October 2024,Josh Keegan,Video,PEP Oct 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1DfMn4kSDqYbZ2y4-uRtWhSoDWe4DujN4/view?usp=drive_link,,,,,,yes
PEP 2025,Midmonth Mentoring (MMM),2024,23 October 2024,Josh Keegan,Transcript,PEP Oct 2024 MMM - Transcript,,,,,,,,
PEP 2025,Midmonth Mentoring (MMM),2024,20 November 2024,Rachael Davis,Video,PEP Nov 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1TBqHSypceDa4eh_02Fuwm-Kj60NCVQZM/view?usp=drive_link,,,,,,yes
PEP 2025,Midmonth Mentoring (MMM),2024,20 November 2024,Rachael Davis,Transcript,PEP Nov 2024 MMM - Transcript,,,,,,,,
PEP 2025,Midmonth Mentoring (MMM),2024,18 December 2024,Josh Keegan,Video,PEP Dec 2024 MMM - Video,Done-A,https://drive.google.com/file/d/1mQ4hn9fzrxTszQ6ENKr8QAYQrhOaKKbO/view?usp=drive_link,,,,,,yes
PEP 2025,Midmonth Mentoring (MMM),2024,18 December 2024,Josh Keegan,Transcript,PEP Dec 2024 MMM - Transcript,,,,,,,,
PEP 2025,Midmonth Mentoring (MMM),2025,22 January 2025,Rachael Davis,Video,PEP Jan 2025 MMM - Video,Done-A,https://drive.google.com/file/d/1P15ilgmVzoBkmSXrW_Jl3iFyJWrbIwJX/view?usp=drive_link,,,,,,yes
PEP 2025,Midmonth Mentoring (MMM),2025,22 January 2025,Rachael Davis,Transcript,PEP Jan 2025 MMM - Transcript,,,,,,,,
PEP 2025,Midmonth Mentoring (MMM),2025,19 February 2025,Shiv Haria,Video,PEP Feb 2025 MMM - Video,Done-A,https://drive.google.com/file/d/1RYtmtoVLy8UbyY5m1FJJSmdXhLx1eM35/view?usp=drive_link,,,,,,yes
PEP 2025,Midmonth Mentoring (MMM),2025,19 February 2025,Shiv Haria,Transcript,PEP Feb 2025 MMM - Transcript,,,,,,,,
PEP 2025,Midmonth Mentoring (MMM),2025,19 March 2025,Rachael Davis,Video,PEP Mar 2025 MMM - Video,Done-A,https://drive.google.com/file/d/1Rl90i-qDZ892ij0IqboW942LMrZULPFA/view?usp=drive_link,,,,,,yes
PEP 2025,Midmonth Mentoring (MMM),2025,19 March 2025,Rachael Davis,Transcript,PEP Mar 2025 MMM - Transcript,,,,,,,,
PEP 2025,Midmonth Mentoring (MMM),2025,23 April 2025,Adam Goff,Video,PEP Apr 2025 MMM - Video,Done-A,https://drive.google.com/file/d/1fitBq6eskwOMX_SRE0ecdOrYvUXAzJMM/view?usp=drive_link,,,,,,yes
PEP 2025,Midmonth Mentoring (MMM),2025,23 April 2025,Adam Goff,Transcript,PEP Apr 2025 MMM - Transcript,,,,,,,,
PEP 2025,Midmonth Mentoring (MMM),2025,14 May 2025,Shiv Haria,Video,PEP May 2025 MMM - Video,Done-A,https://drive.google.com/file/d/1hGEK_W8fZIxU_NCTmjGGDqmFEGVvjdUW/view?usp=drive_link,,,,,,yes
PEP 2025,Midmonth Mentoring (MMM),2025,14 May 2025,Shiv Haria,Transcript,PEP May 2025 MMM - Transcript,,,,,,,,
PEP 2025,Midmonth Mentoring (MMM),2025,18 June 2025,Rachael Davis,Video,PEP Jun 2025 MMM - Video,Done-A,https://drive.google.com/file/d/1FWau0NtCiY3i8NoB_m0nWUWQk5L79yI7/view?usp=drive_link,,,,,,yes
PEP 2025,Midmonth Mentoring (MMM),2025,18 June 2025,Rachael Davis,Transcript,PEP Jun 2025 MMM - Transcript,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2023,18 October 2023,Daniel Hill,Video,PEA Oct 2023 MMM - Video,Done-M,https://drive.google.com/file/d/1b-epMHoHB0KXTA-mpQT_9UIwf4CUF0yH/view?usp=drive_link,,,,,,yes
PEA 2024,Midmonth Mentoring (MMM),2023,18 October 2023,Daniel Hill,Transcript,PEA Oct 2023 MMM - Transcript,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2023,15 November 2023,Adam Goff,Video,PEA Nov 2023 MMM - Video,Done-M,https://drive.google.com/file/d/14o98ENQYDu171ZNsAL7hTaviq9vtwt4P/view?usp=drive_link,,,,,,Needs to be downlaoded 
PEA 2024,Midmonth Mentoring (MMM),2023,15 November 2023,Adam Goff,Transcript,PEA Nov 2023 MMM - Transcript,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2023,13 December 2023,Daniel Hill,Video,PEA Dec 2023 MMM - Video,Done-M,https://drive.google.com/file/d/1UYmsmejG8uEOKA1yst_ZrcOOKIKpZB-T/view?usp=drive_link,,,,,,yes
PEA 2024,Midmonth Mentoring (MMM),2023,13 December 2023,Daniel Hill,Transcript,PEA Dec 2023 MMM - Transcript,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2024,24 January 2024,Adam Goff,Video,PEA Jan 2024 MMM - Video,Done-M,https://drive.google.com/file/d/1TgUJyN1R-kE7zkq0xKUBpOLp1hFe-JHv/view?usp=drive_link,,,,,,yes
PEA 2024,Midmonth Mentoring (MMM),2024,24 January 2024,Adam Goff,Transcript,PEA Jan 2024 MMM - Transcript,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2024,21 February 2024,,Video,PEA Feb 2024 MMM - Video,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2024,21 February 2024,,Transcript,PEA Feb 2024 MMM - Transcript,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2024,01 March 2024,,Video,PEA Mar 2024 MMM - Video,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2024,01 March 2024,,Transcript,PEA Mar 2024 MMM - Transcript,,,,,,,,
PEA 2024,Midmonth Mentoring (MMM),2024,17 April 2024,Josh Keegan,Video,PEA Apr 2024 MMM - Video,Done-M,https://drive.google.com/file/d/1QM45qTiJnYw25dqhIW3H0o1x5DbagAYH/view?usp=drive_link,,,,,,yes
