Programme,Workshop,Session #,Date,Host,Topic,File Type,File Name,Drive Link,Completion,,,Issues,OPS Feedback
LAUNCH SUPEREVENT PEP 2024,1,1,11 October 2023,Chris Moss,Cave Time and Strategy,Video,MWM Oct 2023 - Session 01 - Video,https://drive.google.com/file/d/11-fgX6F4-27BxRfjkGrm3QSqm5ox4SCL/view?usp=drive_link,Done-M,,"Shirvani - If PEP and PEA have different sessions, please adjust the File Name accordingly.",,
SUPEREVENT 2024 LAUNCH ,1,1,11 October 2023,Chris Moss,Cave Time and Strategy,Transcript,MWM Oct 2023 - Session 01 - Transcript,,,,Check whether the session dates are correct.,,
SUPEREVENT 2024 LAUNCH ,1,2,25 October 2023,Shiv Haria,The Long Game & Level Up,Video,MWM Oct 2023 - Session 02 - Video,https://drive.google.com/file/d/1M_CRh2927tl3-i75ukD0q3LNQLc8BZkf/view?usp=drive_link,Done-M,,"**PEA does not have MWM, Dates are correct - SN",,
SUPEREVENT 2024 LAUNCH ,1,2,25 October 2023,Shiv Haria,The Long Game & Level Up,Transcript,MWM Oct 2023 - Session 02 - Transcript,,,,,,
PEP 2024,2,1,08 November 2023,Dan Nornan,Year Of,Video,MWM Nov 2023 - Session 01 - Video,https://drive.google.com/file/d/1EQza6sewCUs2knG1tW7prgysnXjG_u-A/view?usp=drive_link,Done-M,,,,
PEP 2024,2,1,08 November 2023,Dan Nornan,Year Of,Transcript,MWM Nov 2023 - Session 01 - Transcript,,,,,,
PEP 2024,2,2,22 November 2023,Michael Taylor ,Headline Strategy,Video,MWM Nov 2023 - Session 02 - Video,https://drive.google.com/file/d/14eyZO1BAzlJpM99EkR1uDPd4JHY2_W8W/view?usp=drive_link,Done-M,,,,
PEP 2024,2,2,22 November 2023,Michael Taylor ,Headline Strategy,Transcript,MWM Nov 2023 - Session 02 - Transcript,,,,,,
PEP 2024,3,1,06 December 2023,John Woodman,Winter Hit List,Video,MWM Dec 2023 - Session 01 - Video,https://drive.google.com/file/d/1vf0KbOI2UYMVwa6CdVY5mLRc3_uP9CPa/view?usp=drive_link,Done-M,,,,
PEP 2024,3,1,06 December 2023,John Woodman,Winter Hit List,Transcript,MWM Dec 2023 - Session 01 - Transcript,,,,,,
PEP 2024,3,2,20 December 2023,Sarah Lloyd,Target Time,Video,MWM Dec 2023 - Session 02 - Video,https://drive.google.com/file/d/1IxPbwp-88OU40OQp8loBr-xLHQ0YC4uW/view?usp=drive_link,Done-M,,115501,,
PEP 2024,3,2,20 December 2023,Sarah Lloyd,Target Time,Transcript,MWM Dec 2023 - Session 02 - Transcript,,,,,,
PEP 2024,3,3,03 January 2024,Hugh Mowat,Strategy Day - Top Tips,Video,MWM Dec 2024 - Session 03 - Video,https://drive.google.com/file/d/1nYqixC0QuOZ88liYUx2sBKP3OGhRM4x_/view?usp=drive_link,Done-M,,115605,,
PEP 2024,3,3,03 January 2024,Hugh Mowat,Strategy Day - Top Tips,Transcript,MWM Dec 2024 - Session 03 - Transcript,,,,,,
PEP 2024,4,1,17 January 2024,Chris Moss,Winter Hit List,Video,MWM Jan 2024 - Session 01 - Video,https://drive.google.com/file/d/1DeP37kyV8Cg4g4Zv54-2ftv4uBvSphUM/view?usp=drive_link,Done-M,,,,
PEP 2024,4,1,17 January 2024,Chris Moss,Winter Hit List,Transcript,MWM Jan 2024 - Session 01 - Transcript,,,,,,
PEP 2024,4,2,31 January 2024,Tony Rigby,The Art of Time Tracking,Video,MWM Jan 2024 - Session 02 - Video,https://drive.google.com/file/d/1vtR6vnPnYQEknnFVQnjn4FiPwAS_cd0l/view?usp=drive_link,Done-M,OK,,,
PEP 2024,4,2,31 January 2024,Tony Rigby,The Art of Time Tracking,Transcript,MWM Jan 2024 - Session 02 - Transcript,,,,,,
PEP 2024,5,1,14 February 2024,Rachael Davis,Systems Toolbox - Asana,Video,MWM Feb 2024 - Session 01 - Video,https://drive.google.com/file/d/1jBOPivrHh6pX8ZQrbPWXS7UznupDLDng/view?usp=drive_link,Done-M,OK,,,
PEP 2024,5,1,14 February 2024,Rachael Davis,Systems Toolbox - Asana,Transcript,MWM Feb 2024 - Session 01 - Transcript,,,,,,
PEP 2024,5,2,28 February 2024,Josh Keegan,World Class Finance Function,Video,MWM Feb 2024 - Session 02 - Video,https://drive.google.com/file/d/1qI3QUmwS7uk7dztherpHk53hpLF5yMKO/view?usp=drive_link,Done-M,ok,,,
PEP 2024,5,2,28 February 2024,Josh Keegan,World Class Finance Function,Transcript,MWM Feb 2024 - Session 02 - Transcript,,,,,,
PEP 2024,6,1,13 March 2024,Adam Goff,AGM Blueprint,Video,MWM Mar 2024 - Session 01 - Video,https://drive.google.com/file/d/1F-o91WxR0XXb6FxAigrVl-wBDWW1fWJp/view?usp=drive_link,Done-M,ok,,,
PEP 2024,6,1,13 March 2024,Adam Goff,AGM Blueprint,Transcript,MWM Mar 2024 - Session 01 - Transcript,,,,,,
PEP 2024,6,2,27 March 2024,Josh Keegan,Business Modelling,Video,MWM Mar 2024 - Session 02 - Video,https://drive.google.com/file/d/1JW2XGaCLKS5nGyRcsUPPZjqg-Ok4k5xP/view?usp=drive_link,Done-M,ok,,,
PEP 2024,6,2,27 March 2024,Josh Keegan,Business Modelling,Transcript,MWM Mar 2024 - Session 02 - Transcript,,,,,,
PEP 2024,7,1,10 April 2024,Gillian Anderson,The Perfect Profile,Video,MWM Apr 2024 - Session 01 - Video,https://drive.google.com/file/d/14HNWTd5SOjMxZPPZqpqCJwS4B9Z9Pni2/view?usp=drive_link,Done-M,ok,,,
PEP 2024,7,1,10 April 2024,Gillian Anderson,The Perfect Profile,Transcript,MWM Apr 2024 - Session 01 - Transcript,,,,,,
PEP 2024,8,1,08 May 2024,Rachael Davis,Management Model,Video,MWM Apr 2024 - Session 02 - Video,https://drive.google.com/file/d/1DH_gKOcvk3uOQxfYLrR4UWk_uHPHi42a/view?usp=drive_link,Done-M,OK,105655,,
PEP 2024,8,1,08 May 2024,Rachael Davis,Management Model,Transcript,MWM Apr 2024 - Session 02 - Transcript,,,,,,
PEP 2024,8,2,22 May 2024,Umesh Kalra,Culture Club,Video,MWM May 2024 - Session 01 - Video,https://drive.google.com/file/d/1se4UMss1Z37kSXKPrLkIdfz_FVoLK3e9/view?usp=drive_link,Done-M,ok,,,
PEP 2024,8,2,22 May 2024,Umesh Kalra,Culture Club,Transcript,MWM May 2024 - Session 01 - Transcript,,,,,,
SUPEREVENT PEP 2024,9,1,12 June 2024,Guillaume Black,Raise the Stakes,Video,MWM May 2024 - Session 02 - Video,https://drive.google.com/file/d/1KwSTvSbkM-3z8fqIVhOa1wMw-xyhr5UK/view?usp=drive_link,Done-M,OK,105631,,
SUPEREVENT PEP 2025,9,1,12 June 2024,Guillaume Black,Raise the Stakes,Transcript,MWM May 2024 - Session 02 - Transcript,,,,,,
SUPEREVENT PEP 2026,9,2,26 June 2024,Chris Moss,Supercharge Your Sales,Video,MWM Jun 2024 - Session 01 - Video,https://drive.google.com/file/d/1ZLlh2q3wv2Wsaw5aLty8WAchEYIijSdO/view?usp=drive_link,Done-M,OK,,,
SUPEREVENT PEP 2027,9,2,26 June 2024,Chris Moss,Supercharge Your Sales,Transcript,MWM Jun 2024 - Session 01 - Transcript,,,,,,
PEP 2024,10,1,10 July 2024,Akash Desai,Brand Board,Video,MWM Jul 2024 - Session 01 - Video,https://drive.google.com/file/d/1y9U35VcxmBbvzfF2_V3DLmlQYrbzXXOl/view?usp=drive_link,Done-M,OK,,,
PEP 2024,10,1,10 July 2024,Akash Desai,Brand Board,Transcript,MWM Jul 2024 - Session 01 - Transcript,,,,,,
PEP 2024,10,2,24 July 2024,Chris Moss,Oversubscribed Marketing Campaign,Video,MWM Jul 2024 - Session 02 - Video,https://drive.google.com/file/d/1c9uf1XVWWuitLPHVeT9SMzUIxn2lEp2Q/view?usp=drive_link,Done-M,OK,105434,,
PEP 2024,10,2,24 July 2024,Chris Moss,Oversubscribed Marketing Campaign,Transcript,MWM Jul 2024 - Session 02 - Transcript,,,,,,
PEP 2024,11,1,07 August 2024,Martin Rapley,"Content, Campaigns & Six Figure Funnels",Video,MWM Aug 2024 - Session 01 - Video,https://drive.google.com/file/d/17sdU-f3cpChtE36BFTc7uF7I5QenAi48/view?usp=drive_link,Done-M,OK,,,
PEP 2024,11,1,07 August 2024,Martin Rapley,"Content, Campaigns & Six Figure Funnels",Transcript,MWM Aug 2024 - Session 01 - Transcript,,,,,,
PEP 2024,11,2,21 August 2024,Suzanne Elsey,The Awards  - Everything you need to know!,Video,MWM Aug 2024 - Session 02 - Video,https://drive.google.com/file/d/1cg6v8ks8nwTfaM4lLz12JepweJFxg6TF/view?usp=drive_link,Done-M,OK,,,
PEP 2024,11,2,21 August 2024,Suzanne Elsey,The Awards  - Everything you need to know!,Transcript,MWM Aug 2024 - Session 02 - Transcript,,,,,,
LAUNCH SUPEREVENT PEP 2025,1,1,16 October 2024,Rachael Davis,Cave Time and Strategy,Video,MWM Oct 2024 - Session 01 - Video,https://drive.google.com/file/d/1tvlOxfQbbG_-G3N-OXujPD0rHNKUV-1_/view?usp=drive_link,Done-A,OK,,,
LAUNCH SUPEREVENT PEP 2025,1,1,16 October 2024,Rachael Davis,Cave Time and Strategy,Transcript,MWM Oct 2024 - Session 01 - Transcript,,Done-A,,,,
