Podcast Episode #,Type,Podcast Title,Guest(s),Date of Podcast,Date of Podcast,File Type,File Name,Drive Link,Completion,Issues,OPS Feedback,Transcription,,Podcast Info:  https://docs.google.com/spreadsheets/d/1adks5SRjZncKi1wEZ7lLQu6-bbx_7UbV/edit?gid=2111867383#gid=2111867383
1,6 Rounds,6 Rounds 001 - Daniel Hill vs Adam Goff,Daniell Hill and Adam Goff,11-Feb-2020,11/02/2020,Audio,POD 2020 - Episode 001 - Audio,Dan_Hill_1_Edited_v2.mp3,Done-A,,,,,
2,The Blueprint Podcast,The Gold Rush - 2020 Market Predictions,Daniel Hilll,25-Feb-2020,25/02/2020,Audio,POD 2020 - Episode 002 - Audio,Dan_Hill_2_Edited_v2.mp3,Done-A,,,,,
3,The Blueprint Podcast,The Margins You're Missing - Property Development ,Daniel Hilll,26-Feb-2020,26/02/2020,Audio,POD 2020 - Episode 003 - Audio,Dan_Hill_3_Edited_v2.mp3,Done-A,,,,,
4,6 Rounds,6 Rounds 002 - Daniel Hill vs Rob Moore,Daniel Hill and Rob Moore,27-Feb-2020,Tuesday 27th Feb 2020,Audio,POD 2020 - Episode 004 - Audio,Dan_Hill_4_Edited.mp3,Done-A,,,,,
5,The Blueprint Podcast,Three Steps to Breaking World Records,Daniel Hill,28-Feb-2020,Tuesday 28th Feb 2020,Audio,POD 2020 - Episode 005 - Audio,Dan_Hill_5_Edited_v2.mp3,Done-A,,,,,
6,The Blueprint Podcast,FIVE problems you need to overcome,Daniel Hill,3-Mar-2020,Tuesday 3rd March 2020,Audio,POD 2020 - Episode 006 - Audio,Dan_Hill_6_Edited_v2.mp3,Done-A,,,,,
7,6 Rounds,6 Rounds 003 - Daniel Hill vs Simon Zutshi,Daniel Hill and Simon Zutshi,10-Mar-2020,Tuesday 10th March 2020,Audio,POD 2020 - Episode 007 - Audio,Dan_Hill_7_Edited_v2.mp3,Done-A,,,,,
8,The Blueprint Podcast,Get Shit Done,Daniel Hill,17-Mar-2020,Tuesday 17th March 2020,Audio,POD 2020 - Episode 008 - Audio,PE_8_Edited.mp3,Done-A,,,,,
9,The Blueprint Podcast,Webinar with Sally Lawson,Sally Lawson and Daniel Hill,12-May-2020,Tuesday 12th May 2020,Audio,POD 2020 - Episode 009 - Audio,PE_9_Edited.mp3,Done-A,,,,,
10,The Blueprint Podcast,COVID-19 Property Market & Finance,Daniel Hill and Mike Bristow,26-May-2020,Tuesday 26th May 2020,Audio,POD 2020 - Episode 010 - Audio,PE_10_Edited.mp3,Done-A,,,,,
